114,3tuWpnCTe14zZZPt6sI1W9ByOXx.jpg,"35,10749","When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",53,hVHUfT801LQATGd26VPzhorIYza.jpg,1990-03-23,Pretty Woman,3.73,7828,2024-04-13 00:00:00,en,119,Released,2024-04-13 00:00:00,"3703, 1756, 60, 1170, 1139"
118,bSvUW4JQ6g4QiKvwejcfcPRd4Ke.jpg,"12,35,10751,14","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",151,wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,2005-07-13,Charlie and the Chocolate Factory,3.53,14654,2024-04-13 00:00:00,en,115,Released,2024-04-13 00:00:00,"5061, 5056, 117, 1428, 2992"
120,x2RS3uTcsJJ9IfjNPcgDmukoEcQ.jpg,"12,14,28","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",142,6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,4.21,24179,2024-04-13 00:00:00,en,179,Released,2024-04-13 00:00:00,"15791, 2561, 2268, 2231, 1328"
121,6G73mNyooWAEQTpckPSnFxFoNmc.jpg,"12,14,28","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106,5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,2002-12-18,The Lord of the Rings: The Two Towers,4.2,21011,2024-04-13 00:00:00,en,179,Released,2024-04-13 00:00:00,"11913, 4471, 2484, 1202, 941"
122,2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,"12,14,28","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",110,rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,2003-12-01,The Lord of the Rings: The Return of the King,4.25,23238,2024-04-13 00:00:00,en,201,Released,2024-04-13 00:00:00,"14660, 3705, 1887, 1994, 992"
128,gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,"12,14,16","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",90,cMYCDADoLKLbB83g4WnJegaZimC.jpg,1997-07-12,Princess Mononoke,4.17,7617,2024-04-13 00:00:00,en,134,Released,2024-04-13 00:00:00,"4934, 782, 320, 1423, 158"
129,mSDsSDwaP3E7dEfUPWy4J0djt4O.jpg,"16,10751,14","A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",113,39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001-07-20,Spirited Away,4.25,15766,2024-04-13 00:00:00,en,125,Released,2024-04-13 00:00:00,"11181, 809, 329, 3430, 17"
141,msCHK5Kh1YbdZ0zPJ2nzPUhhSN9.jpg,"14,18,9648","After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",53,fhQoQfejY1hUcwyuLgpBrYs6uFt.jpg,2001-01-19,Donnie Darko,3.89,11923,2024-04-13 00:00:00,en,114,Released,2024-04-13 00:00:00,"4742, 2441, 3756, 654, 330"
155,dqK9Hag1054tghRQSqLSfrkvQnA.jpg,"18,28,80,53","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",97,qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008-07-16,The Dark Knight,4.26,31725,2024-04-13 00:00:00,en,152,Released,2024-04-13 00:00:00,"22074, 1060, 3457, 5033, 101"
161,boI3myFhWBvQcru4zZ15aJ0u3CX.jpg,"53,80","Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",86,hQQCdZrsHtZyR6NbKH2YyCqd2fR.jpg,2001-12-07,Ocean's Eleven,3.72,11161,2024-04-13 00:00:00,en,116,Released,2024-04-13 00:00:00,"4649, 1238, 2859, 2329, 86"
162,3Nn5BOM1EVw1IYrv6MsbOS6N1Ol.jpg,"14,18,10749",A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,71,e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990-12-07,Edward Scissorhands,3.86,12465,2024-04-13 00:00:00,en,105,Released,2024-04-13 00:00:00,"7165, 1096, 555, 2591, 1058"
165,skQN2UMQKQnOTmwplcYMx6ZF4jS.jpg,"12,35,878","Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",78,hQq8xZe5uLjFzSBt4LanNP7SQjl.jpg,1989-11-22,Back to the Future Part II,3.88,12282,2024-04-13 00:00:00,en,108,Released,2024-04-13 00:00:00,"7472, 610, 7, 3640, 553"
169,7PoWlbQg7ZxgwofFRrkytvpLvJD.jpg,"878,28,53",A police chief in the war-torn streets of Los Angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,55,83X4VwY9sdSJykskmsplIVG0a4h.jpg,1990-11-21,Predator 2,3.14,3073,2024-04-13 00:00:00,en,108,Released,2024-04-13 00:00:00,"1079, 511, 6, 715, 762"
185,nLFxvLokHe3bQmrmAfljIfax2jQ.jpg,"878,80","In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",55,4sHeTAp65WrSSuc05nRBKddhBxO.jpg,1971-12-19,A Clockwork Orange,4.1,12391,2024-04-13 00:00:00,en,137,Released,2024-04-13 00:00:00,"6656, 2371, 1440, 1795, 129"
197,8lBcqakI3F19NWkXdqE0M8W76b9.jpg,"28,18,36,10752","Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",59,or1gBugydmjToAEq7OZY0owwFk.jpg,1995-05-24,Braveheart,3.97,9700,2024-04-13 00:00:00,en,177,Released,2024-04-13 00:00:00,"6066, 1212, 354, 201, 1867"
217,bXH4lyFS6tctnBgxK1eYRuwekR0.jpg,"12,28","Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",53,56As6XEM1flWvprX4LgkPl8ii4K.jpg,2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,3,7950,2024-04-13 00:00:00,en,122,Released,2024-04-13 00:00:00,"1757, 1280, 870, 3292, 751"
218,6dpnthrofbqWmvapUyvqCrkdHG.jpg,"28,53,878","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",74,qvktm0BHcnmDpul4Hz01GIazWPr.jpg,1984-10-26,The Terminator,3.83,12408,2024-04-13 00:00:00,en,108,Released,2024-04-13 00:00:00,"4688, 2957, 3614, 263, 886"
238,tmU7GeKVybMWFButWEGl2M4GeiP.jpg,"18,80","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",122,3bhkrj58Vtu7enYsRolD1fZdja1.jpg,1972-03-14,The Godfather,4.35,19669,2024-04-13 00:00:00,en,175,Released,2024-04-13 00:00:00,"14305, 1016, 2457, 709, 1182"
240,kGzFbGhp99zva6oZODW5atUtnqi.jpg,"18,80","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",80,hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,1974-12-20,The Godfather Part II,4.29,11882,2024-04-13 00:00:00,en,202,Released,2024-04-13 00:00:00,"8822, 1220, 1, 141, 1698"
242,zNnjHLDtV8Ti3aworltaeaLMov4.jpg,"80,18,53","In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",107,lm3pQ2QoQ16pextRsmnUbG2onES.jpg,1990-12-25,The Godfather Part III,3.71,5893,2024-04-13 00:00:00,en,162,Released,2024-04-13 00:00:00,"2769, 545, 1213, 833, 533"
252,idfNNlVwjVkBQrM2eWpLZiDOTIc.jpg,"10751,14,35","When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.",93,vmpsZkrs4Uvkp9r1atL8B3frA63.jpg,1971-06-29,Willy Wonka & the Chocolate Factory,3.75,3379,2024-04-13 00:00:00,en,99,Released,2024-04-13 00:00:00,"1297, 817, 654, 345, 266"
254,14xx5Tf58mD8FRJ1B3BspiLiRxz.jpg,"12,18,28","In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",203,4fNOp3itFBw7L28kAHxwRPqyZ2K.jpg,2005-12-12,King Kong,3.44,7568,2024-04-13 00:00:00,en,187,Released,2024-04-13 00:00:00,"1822, 2796, 635, 1519, 796"
272,lh5lbisD4oDbEKgUxoRaZU8HVrk.jpg,"28,80,18","Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",56,4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg,2005-06-10,Batman Begins,3.85,20235,2024-04-13 00:00:00,en,140,Released,2024-04-13 00:00:00,"7482, 5913, 4287, 1428, 1125"
275,747dgDfL5d8esobk7h4odaOFhUq.jpg,"80,18,53","Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",73,rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg,1996-03-08,Fargo,3.93,7678,2024-04-13 00:00:00,en,98,Released,2024-04-13 00:00:00,"3395, 2100, 798, 1020, 365"
278,kXfqcdQKsToO0OUXHcrrNCHDBzO.jpg,"18,80","Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",149,9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994-09-23,The Shawshank Redemption,4.35,25942,2024-04-13 00:00:00,en,142,Released,2024-04-13 00:00:00,"17375, 2485, 3892, 2166, 24"
280,8MksSPtPvqcSDruLdpibPmTP7LY.jpg,"28,53,878","Set ten years after the events of the original, James Cameron’s classic sci-fi action flick tells the story of a second attempt to get the rid of rebellion leader John Connor, this time targeting the boy himself. However, the rebellion has sent a reprogrammed terminator to protect Connor.",71,5M0j0B18abtBI5gi2RhfjjurTqb.jpg,1991-07-03,Terminator 2: Judgment Day,4.06,12278,2024-04-13 00:00:00,en,137,Released,2024-04-13 00:00:00,"6257, 2851, 1081, 1827, 262"
285,kPcHuPYqzkSo4bmPHtH82GaeEgX.jpg,"12,14,28","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",121,jGWpG4YhpQwVmjyHEGkxEkeRf0S.jpg,2007-05-19,Pirates of the Caribbean: At World's End,3.65,13783,2024-04-13 00:00:00,en,169,Released,2024-04-13 00:00:00,"3375, 5678, 2726, 538, 1466"
297,uMBByiSDpgFwWVegAtwwnuzvogJ.jpg,"14,18,10749","When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.",64,fDPAjvfPMomkKF7cMRmL5Anak61.jpg,1998-11-12,Meet Joe Black,3.66,4862,2024-04-13 00:00:00,en,178,Released,2024-04-13 00:00:00,"2044, 904, 230, 1584, 100"
311,uPYa165sraN2c8gZBM9C47g3JoU.jpg,"18,80","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",47,i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,1984-05-23,Once Upon a Time in America,4.21,5126,2024-04-13 00:00:00,en,229,Released,2024-04-13 00:00:00,"3212, 710, 312, 852, 40"
