199,655,Sallah,85,ACTOR
200,653,Major Arnold Toht,85,ACTOR
201,659,Colonel Dietrich,85,ACTOR
202,660,Gobler,85,ACTOR
203,656,Dr. Marcus Brody,85,ACTOR
204,658,Satipo,85,ACTOR
205,661,Barranca / Monkey Man,85,ACTOR
206,662,Col. Musgrove,85,ACTOR
207,663,Major Eaton,85,ACTOR
208,2247,Katanga,85,ACTOR
209,1211876,Mohan,85,ACTOR
210,134116,2nd. Nazi,85,ACTOR
211,3,Indiana Jones,89,ACTOR
212,738,Henry Jones,89,ACTOR
213,656,Marcus Brody,89,ACTOR
214,739,Elsa Schneider,89,ACTOR
215,655,Sallah,89,ACTOR
216,740,Walter Donovan,89,ACTOR
217,741,Young Indy,89,ACTOR
218,742,Vogel,89,ACTOR
219,743,Kazim,89,ACTOR
220,745,Fedora,89,ACTOR
221,746,Sultan,89,ACTOR
222,747,Young Henry,89,ACTOR
223,749,Mrs. Donovan,89,ACTOR
224,649,Butler,89,ACTOR
225,3039,Roscoe,89,ACTOR
226,934,Maximus Meridius,98,ACTOR
227,73421,Emperor Commodus,98,ACTOR
228,935,Lucilla,98,ACTOR
229,936,Proximo,98,ACTOR
230,194,Marcus Aurelius,98,ACTOR
231,937,Gracchus,98,ACTOR
232,938,Juba,98,ACTOR
233,939,Falco,98,ACTOR
234,940,Gaius,98,ACTOR
235,941,Quintus,98,ACTOR
236,942,Hagen,98,ACTOR
237,4012,Lucius,98,ACTOR
238,15196,Cassius,98,ACTOR
239,2478,Cicero,98,ACTOR
240,20761,Tigris,98,ACTOR
241,1003,Léon Montana,101,ACTOR
242,524,Mathilda Lando,101,ACTOR
243,64,Norman Stansfield,101,ACTOR
244,1004,Tony,101,ACTOR
245,1005,Malky,101,ACTOR
246,1010,Mathilda's Father,101,ACTOR
247,13420,Mathilda's Mother,101,ACTOR
248,122230,Mathilda's Sister,101,ACTOR
249,977543,Mathilda's Brother,101,ACTOR
250,1171233,Bodyguard Chief,101,ACTOR
251,1006,1st Stansfield Man,101,ACTOR
